Extension,PCFG_Prior,Hypothesis
ZyD_ZeD_D_ByD_BeD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(generation1_(female_(X), C), C), C)), X, C)"
ZyD_ZeD_D_ByD_BeD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(generation0_(X, C), C)), complement_(complement_(X, C), C), C)"
ZyD_ZeD_D_ByD_BeD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(children_of_(generation1_(X, C), C), C)), female_(X), C)"
ZyD_ZeD_D_ByD_BeD,-21.7615247420465,"lambda recurse_, C, X: younger_(female_(children_of_(generation0_(X, C), C)), female_(female_(X)), C)"
mzys_mzes,-35.9381239790741,"lambda recurse_, C, X: male_(male_(children_of_(union_(generation1_(generation1_(X, C), C), female_(setdifference_(close_(X, C), parents_of_(X, C)))), C)))"
mzys_mzes,-35.9381239790741,"lambda recurse_, C, X: male_(male_(children_of_(union_(spouses_of_(spouses_of_(X, C), C), female_(setdifference_(close_(X, C), parents_of_(X, C)))), C)))"
mzys_mzes,-35.9381239790741,"lambda recurse_, C, X: male_(male_(children_of_(union_(generation2_(generation2_(X, C), C), female_(setdifference_(close_(X, C), parents_of_(X, C)))), C)))"
mzys_mzes,-35.9381239790741,"lambda recurse_, C, X: male_(male_(children_of_(union_(spouses_of_(X, C), female_(setdifference_(close_(female_(X), C), parents_of_(X, C)))), C)))"
mzys_mzes,-35.9381239790741,"lambda recurse_, C, X: male_(male_(children_of_(union_(male_(X), female_(setdifference_(close_(X, C), spouses_of_(complement_(X, C), C)))), C)))"
mzys_mzes,-35.9381239790741,"lambda recurse_, C, X: male_(male_(children_of_(union_(samegender_(parents_of_(X, C), C), female_(setdifference_(close_(X, C), parents_of_(X, C)))), C)))"
mzys_mzes,-35.9381239790741,"lambda recurse_, C, X: male_(male_(children_of_(union_(spouses_of_(children_of_(X, C), C), female_(setdifference_(close_(X, C), parents_of_(X, C)))), C)))"
mzys_mzes,-35.9381239790741,"lambda recurse_, C, X: male_(male_(children_of_(union_(generation1_(parents_of_(X, C), C), female_(setdifference_(close_(X, C), parents_of_(X, C)))), C)))"
mzys_mzes,-35.9381239790741,"lambda recurse_, C, X: male_(male_(children_of_(union_(spouses_of_(female_(X), C), female_(setdifference_(close_(X, C), parents_of_(X, C)))), C)))"
mzys_mzes,-35.9381239790741,"lambda recurse_, C, X: male_(male_(children_of_(union_(female_(male_(X)), female_(setdifference_(close_(X, C), parents_of_(X, C)))), C)))"
mzys_mzes,-35.9381239790741,"lambda recurse_, C, X: male_(male_(children_of_(union_(generation1_(spouses_of_(X, C), C), female_(setdifference_(close_(X, C), parents_of_(X, C)))), C)))"
mzys_mzes,-35.9381239790741,"lambda recurse_, C, X: male_(male_(children_of_(union_(generation2_(close_(X, C), C), female_(setdifference_(close_(X, C), parents_of_(X, C)))), C)))"
mzys_mzes,-35.9381239790741,"lambda recurse_, C, X: male_(male_(children_of_(union_(generation1_(complement_(X, C), C), female_(setdifference_(close_(X, C), parents_of_(X, C)))), C)))"
mzys_mzes,-35.9381239790741,"lambda recurse_, C, X: male_(male_(children_of_(union_(generation1_(generation0_(X, C), C), female_(setdifference_(close_(X, C), parents_of_(X, C)))), C)))"
mzys_mzes,-35.9381239790741,"lambda recurse_, C, X: male_(male_(children_of_(union_(generation0_(spouses_of_(X, C), C), female_(setdifference_(close_(X, C), parents_of_(X, C)))), C)))"
mzys_mzes,-35.9381239790741,"lambda recurse_, C, X: male_(male_(children_of_(union_(samegender_(generation0_(X, C), C), female_(setdifference_(close_(X, C), parents_of_(X, C)))), C)))"
mzys_mzes,-35.9381239790741,"lambda recurse_, C, X: male_(male_(children_of_(union_(generation0_(parents_of_(X, C), C), female_(setdifference_(close_(X, C), parents_of_(X, C)))), C)))"
mzys_mzes,-35.9381239790741,"lambda recurse_, C, X: male_(male_(children_of_(union_(younger_(X, X, C), female_(setdifference_(close_(X, C), spouses_of_(all_(C), C)))), C)))"
ZeD_zes_BeD_bes,-29.3464502470655,"lambda recurse_, C, X: intersection_(intersection_(children_of_(elder_(generation0_(X, C), X, C), C), all_(C)), children_of_(generation0_(X, C), C))"
ZeD_zes_BeD_bes,-29.3464502470655,"lambda recurse_, C, X: intersection_(intersection_(children_of_(elder_(generation0_(X, C), X, C), C), all_(C)), complement_(generation2_(X, C), C))"
ZeD_zes_BeD_bes,-29.3464502470655,"lambda recurse_, C, X: intersection_(intersection_(children_of_(elder_(all_(C), X, C), C), children_of_(generation0_(X, C), C)), complement_(X, C))"
ZeD_zes_BeD_bes,-29.3464502470655,"lambda recurse_, C, X: intersection_(intersection_(children_of_(elder_(generation0_(X, C), X, C), C), all_(C)), complement_(children_of_(X, C), C))"
ZeD_zes_BeD_bes,-29.3464502470655,"lambda recurse_, C, X: intersection_(intersection_(children_of_(elder_(generation0_(X, C), X, C), C), all_(C)), complement_(male_(X), C))"
ZeD_zes_BeD_bes,-29.3464502470655,"lambda recurse_, C, X: intersection_(intersection_(children_of_(elder_(children_of_(parents_of_(X, C), C), X, C), C), complement_(X, C)), all_(C))"
ZeD_zes_BeD_bes,-29.3464502470655,"lambda recurse_, C, X: intersection_(intersection_(children_of_(elder_(generation0_(X, C), X, C), C), all_(C)), setdifference_(all_(C), X))"
ZeD_zes_BeD_bes,-29.3464502470655,"lambda recurse_, C, X: intersection_(intersection_(children_of_(elder_(generation0_(X, C), X, C), C), all_(C)), union_(X, all_(C)))"
ZeD_zes_BeD_bes,-29.3464502470655,"lambda recurse_, C, X: intersection_(intersection_(children_of_(elder_(generation0_(X, C), X, C), C), all_(C)), complement_(spouses_of_(X, C), C))"
ZeD_zes_BeD_bes,-29.3464502470655,"lambda recurse_, C, X: intersection_(intersection_(children_of_(elder_(generation0_(X, C), X, C), C), all_(C)), complement_(close_(X, C), C))"
ZeD_zes_BeD_bes,-29.3464502470655,"lambda recurse_, C, X: intersection_(intersection_(children_of_(elder_(generation0_(X, C), X, C), C), all_(C)), complement_(generation0_(X, C), C))"
ZeD_zes_BeD_bes,-29.3464502470655,"lambda recurse_, C, X: intersection_(intersection_(children_of_(elder_(generation0_(X, C), X, C), C), all_(C)), complement_(female_(X), C))"
ZeD_zes_BeD_bes,-29.3464502470655,"lambda recurse_, C, X: intersection_(intersection_(children_of_(elder_(generation0_(X, C), female_(X), C), C), all_(C)), complement_(X, C))"
ZeD_zes_BeD_bes,-29.3464502470655,"lambda recurse_, C, X: intersection_(intersection_(children_of_(elder_(children_of_(parents_of_(X, C), C), X, C), C), all_(C)), complement_(X, C))"
ZeD_zes_BeD_bes,-29.3464502470655,"lambda recurse_, C, X: intersection_(intersection_(children_of_(elder_(generation0_(X, C), female_(X), C), C), complement_(X, C)), all_(C))"
ZeD_zes_BeD_bes,-29.3464502470655,"lambda recurse_, C, X: intersection_(intersection_(children_of_(elder_(children_of_(generation1_(X, C), C), X, C), C), complement_(X, C)), all_(C))"
ZeD_zes_BeD_bes,-29.3464502470655,"lambda recurse_, C, X: intersection_(intersection_(children_of_(elder_(generation0_(X, C), X, C), C), children_of_(all_(C), C)), complement_(X, C))"
ZyD_ByD,-32.6422871130698,"lambda recurse_, C, X: younger_(female_(complement_(children_of_(complement_(younger_(generation0_(X, C), female_(X), C), C), C), C)), female_(X), C)"
ZyD_ByD,-32.6422871130698,"lambda recurse_, C, X: younger_(female_(complement_(children_of_(complement_(younger_(children_of_(close_(X, C), C), X, C), C), C), C)), female_(X), C)"
ZyD_ByD,-32.6422871130698,"lambda recurse_, C, X: younger_(female_(complement_(children_of_(complement_(younger_(children_of_(complement_(samegender_(X, C), C), C), X, C), C), C), C)), X, C)"
ZyD_ByD,-32.6422871130698,"lambda recurse_, C, X: younger_(female_(complement_(children_of_(complement_(younger_(generation0_(X, C), X, C), C), C), C)), female_(parents_of_(X, C)), C)"
ZyD_ByD,-32.6422871130698,"lambda recurse_, C, X: younger_(female_(complement_(children_of_(complement_(younger_(intersection_(generation0_(X, C), all_(C)), X, C), C), C), C)), X, C)"
ZyD_ByD,-32.6422871130698,"lambda recurse_, C, X: younger_(female_(complement_(children_of_(complement_(younger_(children_of_(generation1_(X, C), C), X, C), C), C), C)), female_(X), C)"
ZyD_ByD,-32.6422871130698,"lambda recurse_, C, X: younger_(female_(complement_(children_of_(complement_(younger_(children_of_(close_(X, C), C), female_(X), C), C), C), C)), X, C)"
ZyD_ByD,-32.6422871130698,"lambda recurse_, C, X: younger_(female_(complement_(children_of_(complement_(younger_(generation0_(female_(X), C), X, C), C), C), C)), female_(X), C)"
ZyD_ByD,-32.6422871130698,"lambda recurse_, C, X: younger_(female_(complement_(children_of_(complement_(younger_(generation0_(X, C), female_(female_(X)), C), C), C), C)), X, C)"
ds,-37.9246275250947,"lambda recurse_, C, X: younger_(complement_(union_(children_of_(union_(complement_(female_(children_of_(X, C)), C), X), C), union_(samegender_(X, C), X)), C), X, C)"
ds,-37.9246275250947,"lambda recurse_, C, X: younger_(complement_(union_(children_of_(union_(complement_(female_(children_of_(X, C)), C), X), C), samegender_(intersection_(X, X), C)), C), X, C)"
ds,-37.9246275250947,"lambda recurse_, C, X: younger_(complement_(union_(children_of_(union_(complement_(female_(children_of_(X, C)), C), X), C), samegender_(union_(X, X), C)), C), X, C)"
ds,-37.9246275250947,"lambda recurse_, C, X: younger_(complement_(union_(children_of_(union_(complement_(female_(children_of_(X, C)), C), X), C), samegender_(X, C)), C), intersection_(X, X), C)"
ds,-37.9246275250947,"lambda recurse_, C, X: younger_(complement_(union_(children_of_(union_(complement_(female_(union_(X, children_of_(X, C))), C), X), C), samegender_(X, C)), C), X, C)"
ds,-37.9246275250947,"lambda recurse_, C, X: younger_(complement_(union_(children_of_(union_(complement_(female_(children_of_(X, C)), C), X), C), younger_(samegender_(X, C), X, C)), C), X, C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: children_of_(elder_(close_(X, C), female_(X), C), C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: children_of_(close_(setdifference_(X, close_(X, C)), C), C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: children_of_(close_(union_(X, spouses_of_(X, C)), C), C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: children_of_(close_(setdifference_(X, generation2_(X, C)), C), C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: children_of_(close_(intersection_(X, generation0_(X, C)), C), C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: children_of_(intersection_(complement_(X, C), close_(X, C)), C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: children_of_(close_(setdifference_(X, male_(X)), C), C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: children_of_(close_(union_(X, male_(X)), C), C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: children_of_(close_(intersection_(X, female_(X)), C), C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: children_of_(close_(union_(male_(X), X), C), C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: children_of_(close_(setdifference_(X, complement_(X, C)), C), C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: children_of_(union_(close_(X, C), close_(X, C)), C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: children_of_(union_(close_(X, C), spouses_of_(X, C)), C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: children_of_(union_(close_(X, C), parents_of_(X, C)), C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: children_of_(close_(union_(generation2_(X, C), X), C), C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: children_of_(close_(intersection_(generation0_(X, C), X), C), C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: children_of_(close_(union_(female_(X), X), C), C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: children_of_(close_(intersection_(female_(X), X), C), C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: children_of_(close_(setdifference_(X, parents_of_(X, C)), C), C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: children_of_(intersection_(close_(X, C), close_(X, C)), C)"
MZyD_mzys_MZeD_mzes_Zy_Ze_by_be_FByD_fbys_FBeD_fbes,-15.1698510100379,"lambda recurse_, C, X: union_(male_(X), children_of_(close_(X, C), C))"
MZy_MZe_M_MByD_MBeD,-57.6996487211207,"lambda recurse_, C, X: elder_(complement_(setdifference_(all_(C), female_(union_(female_(close_(X, C)), setdifference_(generation0_(X, C), intersection_(children_of_(close_(children_of_(samegender_(X, C), C), C), C), complement_(X, C)))))), C), X, C)"
MZyD_mzys_MZeD_mzes_MByD_mbys_MBeD_mbes_FZyD_fzys_FZeD_fzes_FByD_fbys_FBeD_fbes,-20.7682729690363,"lambda recurse_, C, X: intersection_(generation0_(X, C), complement_(close_(female_(all_(C)), C), C))"
MZyD_mzys_MZeD_mzes_MByD_mbys_MBeD_mbes_FZyD_fzys_FZeD_fzes_FByD_fbys_FBeD_fbes,-20.7682729690363,"lambda recurse_, C, X: intersection_(generation0_(X, C), complement_(parents_of_(male_(all_(C)), C), C))"
MZyD_mzys_MZeD_mzes_MByD_mbys_MBeD_mbes_FZyD_fzys_FZeD_fzes_FByD_fbys_FBeD_fbes,-20.7682729690363,"lambda recurse_, C, X: intersection_(generation0_(X, C), complement_(close_(children_of_(all_(C), C), C), C))"
MZyD_mzys_MZeD_mzes_MByD_mbys_MBeD_mbes_FZyD_fzys_FZeD_fzes_FByD_fbys_FBeD_fbes,-20.7682729690363,"lambda recurse_, C, X: intersection_(complement_(close_(children_of_(all_(C), C), C), C), generation0_(X, C))"
MZyD_mzys_MZeD_mzes_MByD_mbys_MBeD_mbes_FZyD_fzys_FZeD_fzes_FByD_fbys_FBeD_fbes,-20.7682729690363,"lambda recurse_, C, X: intersection_(complement_(close_(all_(C), C), C), generation0_(female_(X), C))"
MZyD_mzys_MZeD_mzes_MByD_mbys_MBeD_mbes_FZyD_fzys_FZeD_fzes_FByD_fbys_FBeD_fbes,-20.7682729690363,"lambda recurse_, C, X: intersection_(generation0_(female_(X), C), complement_(close_(all_(C), C), C))"
MZyD_mzys_MZeD_mzes_MByD_mbys_MBeD_mbes_FZyD_fzys_FZeD_fzes_FByD_fbys_FBeD_fbes,-20.7682729690363,"lambda recurse_, C, X: intersection_(complement_(parents_of_(all_(C), C), C), generation0_(female_(X), C))"
MZyD_mzys_MZeD_mzes_MByD_mbys_MBeD_mbes_FZyD_fzys_FZeD_fzes_FByD_fbys_FBeD_fbes,-20.7682729690363,"lambda recurse_, C, X: intersection_(children_of_(generation1_(X, C), C), complement_(close_(all_(C), C), C))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(female_(close_(union_(X, X), C)))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(close_(setdifference_(X, male_(X)), C))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(close_(setdifference_(X, parents_of_(X, C)), C))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(close_(female_(intersection_(X, X)), C))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(close_(setdifference_(X, spouses_of_(X, C)), C))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(close_(intersection_(X, generation0_(X, C)), C))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(close_(union_(X, spouses_of_(X, C)), C))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(setdifference_(close_(X, C), spouses_of_(X, C)))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(intersection_(close_(X, C), close_(X, C)))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(union_(female_(X), close_(X, C)))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(setdifference_(close_(X, C), male_(X)))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(close_(intersection_(female_(X), X), C))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(intersection_(close_(X, C), complement_(X, C)))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(close_(union_(generation2_(X, C), X), C))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(close_(setdifference_(X, close_(X, C)), C))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(union_(spouses_of_(X, C), close_(X, C)))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(union_(close_(X, C), male_(X)))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(female_(setdifference_(close_(X, C), X)))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(close_(union_(spouses_of_(X, C), X), C))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(union_(close_(X, C), close_(X, C)))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(close_(intersection_(X, female_(X)), C))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(close_(intersection_(X, samegender_(X, C)), C))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(union_(X, close_(female_(X), C)))"
MZy_MZe_M,-15.1698510100379,"lambda recurse_, C, X: female_(female_(close_(intersection_(X, X), C)))"
zys_zes,-31.332953793086,"lambda recurse_, C, X: setdifference_(union_(children_of_(female_(setdifference_(generation0_(X, C), X)), C), X), setdifference_(samegender_(X, C), X))"
zys_zes,-31.332953793086,"lambda recurse_, C, X: setdifference_(union_(children_of_(female_(setdifference_(generation0_(X, C), union_(X, X))), C), X), samegender_(X, C))"
zys_zes,-31.332953793086,"lambda recurse_, C, X: setdifference_(union_(children_of_(female_(setdifference_(generation0_(X, C), X)), C), X), union_(samegender_(X, C), X))"
zys_zes,-31.332953793086,"lambda recurse_, C, X: setdifference_(union_(children_of_(female_(setdifference_(generation0_(intersection_(X, X), C), X)), C), X), samegender_(X, C))"
zys_zes,-31.332953793086,"lambda recurse_, C, X: setdifference_(union_(children_of_(female_(setdifference_(generation0_(X, C), X)), C), X), samegender_(intersection_(X, X), C))"
zys_zes,-31.332953793086,"lambda recurse_, C, X: setdifference_(union_(children_of_(female_(setdifference_(generation0_(union_(X, X), C), X)), C), X), samegender_(X, C))"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: union_(X, setdifference_(male_(union_(X, generation1_(X, C))), close_(X, C)))"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: union_(X, setdifference_(male_(elder_(generation1_(X, C), X, C)), close_(X, C)))"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: union_(X, setdifference_(male_(generation1_(X, C)), union_(X, close_(X, C))))"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: union_(X, setdifference_(male_(generation1_(X, C)), setdifference_(close_(X, C), X)))"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: union_(X, setdifference_(male_(generation1_(intersection_(X, X), C)), close_(X, C)))"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: union_(X, setdifference_(male_(generation1_(X, C)), union_(close_(X, C), X)))"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: union_(X, setdifference_(male_(generation1_(X, C)), elder_(close_(X, C), X, C)))"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: union_(X, setdifference_(male_(generation1_(union_(X, X), C)), close_(X, C)))"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: union_(X, setdifference_(male_(generation1_(X, C)), close_(intersection_(X, X), C)))"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: union_(X, setdifference_(male_(union_(generation1_(X, C), X)), close_(X, C)))"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: union_(X, setdifference_(male_(setdifference_(generation1_(X, C), X)), close_(X, C)))"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: union_(X, setdifference_(male_(generation1_(X, C)), close_(union_(X, X), C)))"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: elder_(setdifference_(male_(generation1_(union_(X, X), C)), close_(X, C)), X, C)"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: elder_(setdifference_(male_(generation1_(X, C)), union_(X, close_(X, C))), X, C)"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: elder_(setdifference_(generation1_(X, C), union_(samegender_(X, C), close_(X, C))), X, C)"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: elder_(setdifference_(male_(generation1_(intersection_(X, X), C)), close_(X, C)), X, C)"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: elder_(setdifference_(male_(union_(generation1_(X, C), X)), close_(X, C)), X, C)"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: elder_(setdifference_(setdifference_(generation1_(X, C), close_(X, C)), samegender_(X, C)), X, C)"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: elder_(setdifference_(generation1_(X, C), union_(close_(X, C), samegender_(X, C))), X, C)"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: elder_(setdifference_(male_(generation1_(X, C)), union_(close_(X, C), X)), X, C)"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: elder_(setdifference_(male_(generation1_(X, C)), close_(intersection_(X, X), C)), X, C)"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: elder_(setdifference_(male_(generation1_(X, C)), setdifference_(close_(X, C), X)), X, C)"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: elder_(setdifference_(male_(generation1_(X, C)), elder_(close_(X, C), X, C)), X, C)"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: elder_(setdifference_(male_(elder_(generation1_(X, C), X, C)), close_(X, C)), X, C)"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: elder_(setdifference_(male_(generation1_(X, C)), close_(union_(X, X), C)), X, C)"
mby_mbe,-23.7480282880671,"lambda recurse_, C, X: union_(X, setdifference_(setdifference_(generation1_(X, C), samegender_(X, C)), close_(X, C)))"
